CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
HD2094586,1779546757669063552,  7.5212455,  7.7932835,  7.0802879,  0.7129955,VARIABLE,      0,true, 21, 19,     330.7948875000000157,      18.8843191666666677,     330.7950262642414714,      18.8842393829038286,hd209458_stisnic_008.fits,  0,VAR,F9V,G0V,   6110.0,   4.15,   0.00,,   0.00,  99.00
HD2811,4992412432308644224,  7.4997554,  7.5711908,  7.3364954,  0.2346954,NOT_AVAILABLE,      0,true, 63, 59,       7.8270416666666680,     -43.6063883333333351,       7.8270043604566188,     -43.6064075730975560,hd2811_stis_005.fits,  1,OK,A3V,A3V,   7940.0,   3.55,  -0.29,,   0.02,   3.10
HD37725,3444212584803426048,  8.3088837,  8.3793602,  8.1539621,  0.2253981,NOT_AVAILABLE,      0,true, 53, 52,      85.4765416666666766,      29.2974875000000026,      85.4766170306891127,      29.2973683705601182,hd37725_stiswfc_005.fits,  1,OK,A3V,A3V,   8330.0,   4.25,  -0.15,0.13,   0.04,   3.10
HD37962,2902205991429301888,  7.6904383,  8.0098162,  7.1947718,  0.8150444,NOT_AVAILABLE,      0,true, 46, 44,      85.2165250000000043,     -31.3511072222222253,      85.2162142588180700,     -31.3527301875496214,hd37962_stis_011.fits,  1,OK,G2V,G2V,   5880.0,   4.80,  -0.02,<0.09,   0.03,   3.10
HD38949,2915523482424724224,  7.6716800,  7.9537044,  7.2197580,  0.7339463,NOT_AVAILABLE,      0,true, 62, 62,      87.0835791666666665,     -24.4638480555555553,      87.0834300765209122,     -24.4640056807923187,hd38949_stis_008.fits,  1,OK,G1V,G1V,   6010.0,   4.75,  -0.08,1.17,   0.00,   3.10
HD55677,3167212139383161216,  9.4347153,  9.4699907,  9.3417578,  0.1282330,NOT_AVAILABLE,      0,true, 24, 25,     108.6303750000000008,      13.8602172222222215,     108.6303617798941019,      13.8601880134912641,hd55677_stis_005.fits,  1,OK,A4V,A4V,   8710.0,   3.80,  -0.84,0.24,   0.04,   3.10
HD607537,5493730399606077440,  6.6564989,  6.6062956,  6.6971402, -0.0908446,NOT_AVAILABLE,      0,true, 31, 29,     113.3638291666666618,     -50.5842544444444471,     113.3638074910176812,     -50.5842294715729679,hd60753_stis_004.fits,  0,OK,B3IV,B3IV,      0.0,   0.00,   0.00,,   0.00,   0.00
HD93521,775029739076581248,  6.9734440,  6.8313384,  7.2043676, -0.3730292,NOT_AVAILABLE,      0,true, 29, 24,     162.0979624999999942,      37.5703008333333344,     162.0979663421485100,      37.5703103984640094,hd93521_stis_007.fits,  0,OK,O9.5IIInn,O9Vp,  27750.0,   3.10,   0.30,,   0.00,  99.00
HS2027+0651,1748833236082347136, 16.6242714, 16.4839478, 16.8951988, -0.4112511,VARIABLE,      0,true, 42, 42,     307.3854416666666793,       7.0188052777777781,     307.3854829313364121,       7.0188128758772068,hs2027_stis_006.fits,  0,OK,DO,DO,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ21,4016474027321256704, 14.6355734, 14.4533911, 14.9624996, -0.5091085,VARIABLE,      0,true, 32, 30,     183.4844333333333282,      32.9420441666666619,     183.4838989742950162,      32.9421783157602874,hz21_stis_007.fits,  0,OK,DO1,DO2,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ438,1461833904932026368, 12.8568001, 12.6317358, 12.9669886, -0.3352528,NOT_AVAILABLE,      0,true, 77, 73,     199.0910541666666802,      29.0987252777777776,     199.0902516709756753,      29.0982490298595842,hz43_stis_005.fits,  0,OK,DAwk,DA,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ43B8,1461833904930595968, 13.5928078, 14.2031555, 11.9899101,  2.2132454,NOT_AVAILABLE,      0,false, 13, 13,     199.0895333333333497,      29.0980583333333307,     199.0895316693303698,      29.0980582997465476,hz43b_stis_005.fits,  0,OK,M3.5Ve,M3Ve,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ44,1473687671071803520, 11.6131954, 11.4427538, 11.9433174, -0.5005636,NOT_AVAILABLE,      0,true,101, 99,     200.8969291666666663,      36.1332066666666663,     200.8965657188696241,      36.1331871159112410,hz44_stis_006.fits,  1,OK,sdBN0VIIHe28,sdB,      0.0,   0.00,   0.00,,   0.00,   0.00
HZ4,3302846072717868416, 14.5478401, 14.5202618, 14.6349630, -0.1147013,VARIABLE,      0,true, 40, 38,      58.8416166666666669,       9.7883708333333335,      58.8423987810996678,       9.7883460846594357,hz4_stis_008.fits,  0,OK,DA3.4,DA3.4,      0.0,   0.00,   0.00,,   0.00,   0.00
2MASSJ17583798+6646522,1633376204407124352, 13.6196899, 14.2293158, 12.8753948,  1.3539209,NOT_AVAILABLE,      0,true,251,244,     269.6583083333333093,      66.7811422222222149,     269.6583177662346884,      66.7811227079220657,kf06t2_stiswfcnic_006.fits,  1,OK,K1.5III,K1.5III,      0.0,   0.00,   0.00,,   0.00,   0.00
KF08T3,1633294634388508416, 13.0450420, 13.5367765, 12.3948870,  1.1418896,NOT_AVAILABLE,      0,true,111,110,     268.8175666666666643,      66.1698916666666719,     268.8175893475595331,      66.1698623451300421,kf08t3_stisnic_005.fits,  1,OK,K0.5III,K0.5III,      0.0,   0.00,   0.00,,   0.00,   0.00
KSI2_CETI,22745910577134848,  4.2553577,  4.2396884,  4.2805800, -0.0408916,NOT_AVAILABLE,      0,true, 12, 12,      37.0398208333333372,       8.4600602777777762,      37.0399300386071033,       8.4600400598305399,ksi2ceti_stis_007.fits,  0,SAT,B9III,B9III,      0.0,   0.00,   0.00,,   0.00,   0.00
LAMBDA_LEP,2988329637719192960,  4.2184691,  4.1034460,  4.4746261, -0.3711801,NOT_AVAILABLE,      0,true, 50, 46,      79.8938500000000005,     -13.1767891666666657,      79.8938568265041766,     -13.1767907399292898,lamlep_stis_007.fits,  0,SAT,B0.5V,B0.5V,  29260.0,   4.00,  -0.26,0.35,   0.02,  99.00
LDS749B,2687733913283870336, 14.6432457, 14.6013374, 14.6941328, -0.0927954,NOT_AVAILABLE,      0,true, 42, 40,     323.0676374999999894,       0.2539997222222222,     323.0694730804228811,       0.2541207161133505,lds749b_stisnic_008.fits,  1,OK,DB4,DBQ4,  13906.0,   8.00,  99.99,,  99.99,  99.00
MU_COL,2901155648586891648,  5.1061826,  4.9635134,  5.3815207, -0.4180074,NOT_AVAILABLE,      0,true, 38, 34,      86.4995624999999961,     -32.3064333333333309,      86.4995797980886039,     -32.3065325226425557,mucol_stis_007.fits,  0,VAR,O9.5V,O9.5V,  33360.0,   3.95,  -0.21,0.12,   0.01,  99.00
NGC2506-G31,3038045185547143936, 17.7694988, 18.1717758, 17.2477798,  0.9239960,NOT_AVAILABLE,      0,false, 37, 37,     120.0592166666666714,     -10.7915194444444449,     120.0592186157309271,     -10.7915182340946121,ngc2506g31_stis_004.fits,  0,OK,,G1V,   5910.0,   5.00,   0.08,,   0.08,   3.10
NGC6681-1,6736897344744429696, 15.8078938,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8054958333333389,     -32.2903777777777776,     280.8054962037845144,     -32.2903798191494573,NGC6681_1_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-2,6736897344730729344, 16.2230320,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8048541666666438,     -32.2905055555555549,     280.8048558891820221,     -32.2905075214797250,NGC6681_2_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-3,6736897344744400768, 16.8222752,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8043374999999742,     -32.2903916666666646,     280.8043256269486960,     -32.2903873677440032,NGC6681_3_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-4,6736897344744400512, 15.9453459, 14.3830137, 13.8244476,  0.5585661,NOT_AVAILABLE,      0,false, 11, 11,     280.8037208333333297,     -32.2906750000000002,     280.8037107033706548,     -32.2906707021605826,NGC6681_4_stis_002.fits,  0,OK,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-5,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,     280.8036333333333232,     -32.2907111111111078,       0.0000000000000000,       0.0000000000000000,NGC6681_5_stis_002.fits,  0,OK,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-6,6736897344730722432, 16.1960716,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8031458333333603,     -32.2904694444444402,     280.8031448146458615,     -32.2904706336636522,NGC6681_6_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-7,6736897344730687104, 14.6928921, 14.4244118, 13.3515511,  1.0728607,NOT_AVAILABLE,      0,true, 21, 23,     280.8026624999999967,     -32.2908583333333326,     280.8026659076160740,     -32.2908603379928465,NGC6681_7_stis_002.fits,  0,OK,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-8,6736897344730694272, 16.9590473,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8011583333332624,     -32.2909749999999960,     280.8011601597768276,     -32.2909740469811410,NGC6681_8_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-9,6736897344744421504, 15.7754841,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.8008291666666310,     -32.2908638888888859,     280.8008306546436756,     -32.2908655389652495,NGC6681_9_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-10,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,     280.8006083333332867,     -32.2907166666666683,       0.0000000000000000,       0.0000000000000000,NGC6681_10_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-11,6736897344744418944, 13.8062735, 13.6711674, 12.5608387,  1.1103287,NOT_AVAILABLE,      0,false, 14, 14,     280.8002041666666742,     -32.2909777777777762,     280.8002079783804561,     -32.2907825865231857,NGC6681_11_stis_002.fits,  0,OK,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
NGC6681-12,6736897344744398848, 15.5654974,  0.0000000,  0.0000000,  0.0000000,NOT_AVAILABLE,      0,false,  0,  0,     280.7995916666666290,     -32.2910861111111060,     280.7997271489172704,     -32.2910310315486484,NGC6681_12_stis_002.fits,  0,SAT,,...,      0.0,   0.00,   0.00,,   0.00,   0.00
P041C9,1698468284904574208, 11.8707485, 12.1760273, 11.3944225,  0.7816048,NOT_AVAILABLE,      0,true, 45, 44,     222.9915833333333239,      71.7214972222222258,     222.9908829498503167,      71.7215852080372542,p041c_stisnic_010.fits,  0,OK,G0,G0V,   5930.0,   4.35,   0.17,<0.44,   0.01,   3.10
P177D,1399559249961569792, 13.3235836, 13.6533146, 12.8240290,  0.8292856,NOT_AVAILABLE,      0,true, 36, 35,     239.8065791666666655,      47.6116416666666709,     239.8065252082623715,      47.6116472532485702,p177d_stisnic_011.fits,  1,OK,G0,G0V,   5680.0,   3.40,  -0.13,<1.00,   0.00,   3.10
P330E,1312054926303736704, 12.8499737, 13.1770039, 12.3583689,  0.8186350,NOT_AVAILABLE,      0,true, 55, 56,     247.8908874999999910,      30.1462222222222209,     247.8908392831041567,      30.1460494720658545,p330e_stiswfcnic_007.fits,  1,OK,G2V,G2V,   5840.0,   4.15,  -0.12,<0.76,   0.03,   3.10
SDSS132811,1551861813935664896, 17.1221733, 17.1113873, 17.1881485, -0.0767612,NOT_AVAILABLE,      0,true, 65, 67,     202.0479083333333392,      46.5141500000000008,     202.0470642085749375,      46.5140119301207875,sdss132811_stis_004.fits,  0,OK,DA,DA,      0.0,   0.00,   0.00,,   0.00,   0.00
SDSSJ151421,4419865155422033280, 15.8835049, 15.7748938, 16.1107731, -0.3358793,NOT_AVAILABLE,      0,true, 19, 20,     228.5886375000000044,       0.7980027777777777,     228.5886558694128610,       0.7978832459016985,sdssj151421_stis_005.fits,  0,OK,DA1.8,DA1.8,  28020.0,   8.70,   0.00,,   0.03,  99.00
SF1615+001A,4408086362237875072, 16.5747204, 16.9329395, 16.0186501,  0.9142895,NOT_AVAILABLE,      0,true, 28, 26,     244.5593333333333703,       0.0023916666666667,     244.5593426079586550,       0.0023427993625605,sf1615_001a_stisnic_011.fits,  0,OK,G0-5,G,   5830.0,   4.00,  -0.63,,   0.10,   3.10
SIGMA_ORI,3216486443742786048,  3.7901659,  3.6425619,  3.9755402, -0.3329782,VARIABLE,      0,true, 26, 26,      84.6865208333333328,      -2.6000777777777779,      84.6865224285471783,      -2.6000786610750604,sigori_stis_001.fits,  0,SAT,O9.5V+B0.2V(n),O9.5V+B0.2V,      0.0,   0.00,   0.00,,   0.00,   0.00
SIRIUS,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,     101.2871541666666673,     -16.7161166666666645,       0.0000000000000000,       0.0000000000000000,sirius_stis_005.fits,  0,SAT,,A0V,   9850.0,   4.30,  99.99,,  99.99,  99.00
SNAP-2,1429541695100150656, 16.0641708, 16.4039898, 15.5502834,  0.8537064,NOT_AVAILABLE,      0,true, 38, 36,     244.9420958333333544,      55.5716277777777776,     244.9420726143500247,      55.5715798000031640,snap2_stiswfcnic_006.fits,  1,OK,G0-5,G0-5,   5760.0,   4.05,  -0.16,,   0.03,   3.10
VB8,4339417394313320192, 13.8132887, 17.0531693, 12.3241930,  4.7289762,NOT_AVAILABLE,      0,true, 60, 60,     253.8969000000000449,      -8.3946527777777771,     253.8932462714885787,      -8.3985230231148318,vb8_stiswfcnic_004.fits,  0,VAR/BIN,M7Ve,M7V,      0.0,   0.00,   0.00,,   0.00,   0.00
WD0148+467,356922880493142016, 12.4955883, 12.4696569, 12.5878105, -0.1181536,VARIABLE,      0,true, 36, 36,      28.0123416666666678,      47.0018472222222243,      28.0123719526466530,      47.0023898742371955,wd0148_467_stiswfc_001.fits,  0,OK,DA3.6,DA3.6,      0.0,   0.00,   0.00,,   0.00,   0.00
WD0227+050,2516322146457318144, 12.8205395, 12.7449713, 12.9962368, -0.2512655,NOT_AVAILABLE,      0,true, 25, 24,      37.5692833333333311,       5.2640833333333337,      37.5696248988565955,       5.2639734622049685,wd0227_050_stiswfc_002.fits,  1,OK,DA2.5,DA2.5,      0.0,   0.00,   0.00,,   0.00,   0.00
WD0308-565,4727581523318486912, 14.1032095, 14.0062389, 14.2750158, -0.2687769,NOT_AVAILABLE,      0,true, 53, 52,      47.4496583333333319,     -56.3970583333333337,      47.4508559745464922,     -56.3967617639867171,wd0308_565_stis_009.fits,  1,OK,DB,sdB,  22200.0,   8.04,  99.99,,  99.99,  99.00
WD0809+177,657056745624156416, 13.4290581, 13.3756266, 13.5516300, -0.1760035,VARIABLE,      0,true, 46, 44,     123.1575374999999752,      17.6170638888888895,     123.1578785777125660,      17.6166753877283568,wd0809_177_stiswfc_002.fits,  0,OK,DA,DA,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1057+719,1074013923063975680, 14.7011976, 14.5412283, 15.0238276, -0.4825993,NOT_AVAILABLE,      0,true, 52, 48,     165.1426791666666531,      71.6341444444444448,     165.1420650835637787,      71.6340476522827316,wd1057_719_stisnic_011.fits,  1,OK,DA1.2,DA1.2,  41540.0,   7.55,   0.00,,   0.00,  99.00
WD1105-048,3788194488314248832, 13.0905704, 13.0450230, 13.2140388, -0.1690159,VARIABLE,      0,true, 28, 24,     166.9997916666666526,      -5.1572305555555555,     166.9995455705611676,      -5.1591990091838067,wd1105_048_stiswfc_002.fits,  0,OK,DA3,DA3,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1105-340,5401688425816913920, 13.6999807, 13.6860476, 13.7713184, -0.0852709,VARIABLE,      0,true, 44, 41,     166.9495708333333255,     -34.3476361111111146,     166.9497850554006675,     -34.3488059807205062,wd1105_340_stiswfc_002.fits,  0,OK,DA3.6,DA3.6,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1202-232,3489719481290397696, 12.7380886, 12.8429155, 12.5482512,  0.2946644,NOT_AVAILABLE,      0,true, 50, 51,     181.3611416666666685,     -23.5533722222222224,     181.3613440448652625,     -23.5523650308277759,wd1202_232_stiswfc_002.fits,  1,OK,DA5.7,DA5.7,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1327-083,3630035787972473600, 12.3551092, 12.3233767, 12.4575386, -0.1341619,NOT_AVAILABLE,      0,true, 35, 33,     202.5568208333333189,      -8.5748527777777781,     202.5518263642616432,      -8.5769524694241603,wd1327_083_stiswfc_004.fits,  1,OK,DA3.5,DA3.5,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1544-377,6009537829925128064, 13.0008078, 13.0359230, 12.9313536,  0.1045694,NOT_AVAILABLE,      0,true, 30, 29,     236.8750875000000065,     -37.9190166666666642,     236.8727004363526305,     -37.9199460609940147,wd1544_377_stiswfc_002.fits,  1,OK,DA4.8,DA4.8,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1657+343,1337946019956816256, 16.4215260, 16.2604542, 16.7572575, -0.4968033,NOT_AVAILABLE,      0,true, 46, 45,     254.7129708333333156,      34.3148111111111049,     254.7130164180283032,      34.3146726076104187,wd1657_343_stiswfcnic_006.fits,  0,OK,DA.9,DA.9,  45810.0,   7.00,   0.00,,   0.00,  99.00
WD1713+695,1638563322306634368, 13.3278608, 13.2816744, 13.4495449, -0.1678705,VARIABLE,      0,true, 38, 35,     258.2753791666666530,      69.5237527777777728,     258.2746730693290829,      69.5222268658957603,wd1713_695_stiswfc_002.fits,  0,OK,DA3.2,DA3.2,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1911+536,2140481412496465152, 13.2471437, 13.1889572, 13.3905773, -0.2016201,VARIABLE,      0,true, 37, 38,     288.2023583333333363,      53.7204027777777782,     288.2034452533698641,      53.7210062371116379,wd1911_536_stiswfc_001.fits,  0,OK,DA,DA,      0.0,   0.00,   0.00,,   0.00,   0.00
WD1919+145,4319908862597055232, 13.0189419, 12.9803782, 13.1257010, -0.1453228,NOT_AVAILABLE,      0,true, 41, 42,     290.4184083333333319,      14.6781666666666659,     290.4182563607856196,      14.6778304271878977,wd1919_145_stiswfc_001.fits,  1,OK,DA3.3,DA3.3,      0.0,   0.00,   0.00,,   0.00,   0.00
WD2039-682,6424566979354709248, 13.3394747, 13.2878809, 13.4688854, -0.1810045,NOT_AVAILABLE,      0,true, 60, 58,     311.0894124999999804,     -68.0892666666666599,     311.0915799648467441,     -68.0902800627277713,wd2039_682_stiswfc_001.fits,  1,OK,DA3.0,DA3.0,      0.0,   0.00,   0.00,,   0.00,   0.00
WD2117+539,2176116580055936512, 12.3932037, 12.3552694, 12.4958658, -0.1405964,NOT_AVAILABLE,      0,true, 55, 54,     319.7344333333332997,      54.2114555555555597,     319.7337822945517019,      54.2123152866866604,wd2117_539_stiswfc_002.fits,  1,OK,DA3.4,DA3.4,      0.0,   0.00,   0.00,,   0.00,   0.00
WD2126+734,2274076297221555968, 12.8873272, 12.8360052, 12.9889755, -0.1529703,NOT_AVAILABLE,      0,true, 38, 34,     321.7402333333333218,      73.6457416666666802,     321.7411073722627748,      73.6443447416998822,wd2126_734_stiswfc_002.fits,  0,OK,DA3.1,DA3.1,      0.0,   0.00,   0.00,,   0.00,   0.00
WD2149+021,2693940725141960192, 12.7767496, 12.7134771, 12.9301100, -0.2166328,NOT_AVAILABLE,      0,true, 25, 23,     328.1057458333333443,       2.3887722222222223,     328.1058138452950743,       2.3874354563680322,wd2149_021_stiswfc_001.fits,  1,OK,DA2.8,DA2.8,      0.0,   0.00,   0.00,,   0.00,   0.00
WD2341+322,2871730307948650368, 12.9669209, 12.9641352, 13.0074120, -0.0432768,NOT_AVAILABLE,      0,true, 37, 38,     355.9613375000000133,      32.5463138888888892,     355.9602000462695059,      32.5460473340951353,wd2341_322_stiswfc_004.fits,  1,OK,DA3.8,DA3.8,      0.0,   0.00,   0.00,,   0.00,   0.00
